timestamp,emotion,confidence
5.253772,Neutral,0.31861603260040283
5.747584,Neutral,0.5144838094711304
6.228953,Sad,0.4717291295528412
6.829772,Sad,0.5307018160820007
7.379467,Sad,0.5779989361763
7.907292,Sad,0.43943551182746887
8.354051,Sad,0.5183762907981873
8.795579,Anger,0.3713018000125885
8.990216,Anger,0.4198366403579712
9.404237,Anger,0.4736793339252472
9.788955,Anger,0.430268257856369
10.17799,Neutral,0.319873571395874
10.569087,Contempt,0.47237494587898254
10.946602,Contempt,0.6898260712623596
11.335223,Contempt,0.7713401317596436
11.722368,Contempt,0.6524771451950073
12.110441,Contempt,0.48853859305381775
12.495837,Contempt,0.4279778003692627
12.863903,Contempt,0.3379283547401428
13.635405,Contempt,0.4999066889286041
14.039404,Contempt,0.6988486051559448
14.234021,Happy,0.33159366250038147
14.658415,Happy,0.4133242666721344
14.839089,Happy,0.3110642433166504
15.240244,Sad,0.3405199944972992
15.447565,Sad,0.7050779461860657
15.876471,Happy,0.482543021440506
16.281964,Happy,0.5570365786552429
16.694918,Happy,0.5358260273933411
17.085036,Happy,0.5188889503479004
17.471358,Happy,0.5854141116142273
17.873564,Happy,0.7101855278015137
18.255468,Happy,0.7378901243209839
18.65187,Contempt,0.5532005429267883
18.890699,Contempt,0.38676950335502625
20.077605,Contempt,0.6450992226600647
20.523888,Contempt,0.8179356455802917
20.922695,Contempt,0.6787732243537903
21.299409,Contempt,0.7034106850624084
21.69935,Contempt,0.4676009714603424
22.096111,Happy,0.5631366968154907
22.495472,Disgust,0.5080730319023132
22.894425,Disgust,0.3991456925868988
23.283003,Disgust,0.5070728063583374
23.663572,Disgust,0.3758731186389923
24.057349,Disgust,0.6490746140480042
24.443871,Disgust,0.6963667273521423
24.820684,Happy,0.5878540873527527
25.223902,Contempt,0.3350127339363098
26.754744,Happy,0.3408355712890625
27.36018,Happy,0.8080411553382874
28.469544,Happy,0.5226911902427673
28.881412,Happy,0.7397295236587524
29.301354,Happy,0.306846022605896
29.718101,Happy,0.6129916310310364
30.133447,Contempt,0.37731271982192993
30.519364,Contempt,0.515397310256958
30.922019,Disgust,0.45212802290916443
31.333807,Disgust,0.34985634684562683
31.75374,Disgust,0.8114796876907349
32.172798,Disgust,0.5006015300750732
32.585762,Contempt,0.7070205211639404
32.975358,Contempt,0.7823011875152588
33.368573,Contempt,0.49367833137512207
33.754738,Contempt,0.31729814410209656
34.147364,Contempt,0.3722388446331024
34.935685,Contempt,0.3182128965854645
35.741342,Contempt,0.33324673771858215
